timestamp,cell_id,voltage,current,power
2025-06-19T02:49:49.349460,cell_3,0.84,309.2,0.262
2025-06-19T02:50:21.893533,cell_1,0.828,255.3,0.22
2025-06-19T02:50:21.912223,cell_2,0.896,238.4,0.184
2025-06-19T02:50:21.933091,cell_3,0.876,0.9,0.0
2025-06-19T02:50:52.223288,cell_1,0.892,0.3,0.0
2025-06-19T02:50:52.239510,cell_2,0.884,0.5,0.0
2025-06-19T02:50:52.255547,cell_3,0.88,0.9,0.0
2025-06-19T02:51:22.547670,cell_1,0.828,257.2,0.21
2025-06-19T02:51:22.564052,cell_2,0.864,245.1,0.212
2025-06-19T02:51:22.580480,cell_3,0.832,325.8,0.268
2025-06-19T02:51:52.870729,cell_1,0.9,0.4,0.0
2025-06-19T02:51:52.889213,cell_2,0.872,0.5,0.0
2025-06-19T02:51:52.903657,cell_3,0.876,0.5,0.0
2025-06-19T02:52:23.190563,cell_1,0.856,0.7,0.0
2025-06-19T02:52:23.212894,cell_2,0.828,246.0,0.204
2025-06-19T02:52:23.236874,cell_3,0.792,0.7,0.0
2025-06-19T02:52:55.779734,cell_1,0.912,0.4,0.0
2025-06-19T02:52:55.800964,cell_2,0.88,0.4,0.0
2025-06-19T02:52:55.818382,cell_3,0.872,0.9,0.0
2025-06-19T02:53:26.116547,cell_1,0.82,0.3,0.0
2025-06-19T02:53:26.138535,cell_2,0.932,0.4,0.0
2025-06-19T02:53:26.152893,cell_3,0.856,0.9,0.0
2025-06-19T02:53:58.695663,cell_1,0.82,254.6,0.212
2025-06-19T02:53:58.714768,cell_2,0.832,224.8,0.19
2025-06-19T02:53:58.729373,cell_3,0.836,316.9,0.268
2025-06-19T02:54:29.025571,cell_1,0.876,0.3,0.0
2025-06-19T02:54:29.044172,cell_2,0.876,28.9,0.25
2025-06-19T02:54:29.063826,cell_3,0.868,316.0,0.252
2025-06-19T02:54:59.350090,cell_1,0.82,223.4,0.186
2025-06-19T02:54:59.369758,cell_2,0.912,0.4,0.0
2025-06-19T02:54:59.383881,cell_3,0.836,269.8,0.0
2025-06-19T02:55:29.669420,cell_1,0.828,0.5,0.0
2025-06-19T02:55:29.684341,cell_2,0.888,0.6,0.0
2025-06-19T02:55:29.699616,cell_3,0.876,0.7,0.0
2025-06-19T02:55:59.997228,cell_1,0.82,220.4,0.176
2025-06-19T02:56:00.013740,cell_2,0.804,219.5,0.174
2025-06-19T02:56:00.032425,cell_3,0.82,1.1,0.0
2025-06-19T02:56:30.322727,cell_1,0.836,247.0,0.204
2025-06-19T02:56:30.339505,cell_2,0.836,252.7,0.2
2025-06-19T02:56:30.355446,cell_3,0.84,317.0,0.266
2025-06-19T02:57:00.646922,cell_1,0.892,0.3,0.0
2025-06-19T02:57:00.660521,cell_2,0.872,0.8,0.0
2025-06-19T02:57:00.676635,cell_3,0.864,0.9,0.0
2025-06-19T02:57:30.962265,cell_1,0.828,0.3,0.0
2025-06-19T02:57:30.978355,cell_2,0.82,0.7,0.144
2025-06-19T02:57:30.995934,cell_3,0.82,0.7,0.266
2025-06-19T02:58:01.287688,cell_1,0.868,250.5,0.204
2025-06-19T02:58:01.307915,cell_2,0.856,183.9,0.164
2025-06-19T02:58:01.326939,cell_3,0.888,1.0,0.0
2025-06-19T02:58:33.878511,cell_1,0.892,0.6,0.0
2025-06-19T02:58:33.896862,cell_2,0.816,0.4,0.0
2025-06-19T02:58:33.914402,cell_3,0.84,0.8,0.0
2025-06-19T02:59:04.205160,cell_1,0.896,0.5,0.0
2025-06-19T02:59:04.219348,cell_2,0.848,0.3,0.0
2025-06-19T02:59:04.238903,cell_3,0.9,0.7,0.0
2025-06-19T02:59:34.521723,cell_1,0.84,242.7,0.204
2025-06-19T02:59:34.541252,cell_2,0.856,223.9,0.138
2025-06-19T02:59:34.556928,cell_3,0.864,287.2,0.222
2025-06-19T03:00:04.847992,cell_1,0.86,0.3,0.0
2025-06-19T03:00:04.871136,cell_2,0.864,0.6,0.0
2025-06-19T03:00:04.889560,cell_3,0.86,148.7,0.308
2025-06-19T03:00:35.175491,cell_1,0.824,250.4,0.216
2025-06-19T03:00:35.190798,cell_2,0.876,284.1,0.206
2025-06-19T03:00:35.206624,cell_3,0.864,0.6,0.294
2025-06-19T03:01:05.490229,cell_1,0.84,0.6,0.0
2025-06-19T03:01:05.504182,cell_2,0.816,212.7,0.134
2025-06-19T03:01:05.521306,cell_3,0.852,154.0,0.0
2025-06-19T03:01:35.804545,cell_1,0.892,248.4,0.212
2025-06-19T03:01:35.819504,cell_2,0.856,0.6,0.262
2025-06-19T03:01:35.836133,cell_3,0.848,363.3,0.328
2025-06-19T03:02:06.125955,cell_1,0.832,218.0,0.124
2025-06-19T03:02:06.141045,cell_2,0.832,227.4,0.184
2025-06-19T03:02:06.161150,cell_3,0.844,0.9,0.0
2025-06-19T03:02:36.456646,cell_1,0.86,0.4,0.0
2025-06-19T03:02:36.477311,cell_2,0.856,246.8,0.204
2025-06-19T03:02:36.492425,cell_3,0.896,339.8,0.286
2025-06-19T03:03:06.777539,cell_1,0.86,283.0,0.246
2025-06-19T03:03:06.793033,cell_2,0.884,0.6,0.0
2025-06-19T03:03:06.810361,cell_3,0.812,377.6,0.314
2025-06-19T03:03:37.109287,cell_1,0.852,0.4,0.0
2025-06-19T03:03:37.127101,cell_2,0.848,0.5,0.0
2025-06-19T03:03:37.147747,cell_3,0.856,0.7,0.16
2025-06-19T03:04:07.443490,cell_1,0.884,250.2,0.196
2025-06-19T03:04:07.461463,cell_2,0.896,251.6,0.186
2025-06-19T03:04:07.479623,cell_3,0.832,279.2,0.232
2025-06-19T03:04:37.768942,cell_1,0.856,0.4,0.0
2025-06-19T03:04:37.784211,cell_2,0.86,0.7,0.0
2025-06-19T03:04:37.799266,cell_3,0.868,0.6,0.0
2025-06-19T03:05:08.084407,cell_1,0.888,0.5,0.0
2025-06-19T03:05:08.101957,cell_2,0.884,0.8,0.0
2025-06-19T03:05:08.116911,cell_3,0.876,0.7,0.0
2025-06-19T03:05:38.402372,cell_1,0.86,0.5,0.0
2025-06-19T03:05:38.416678,cell_2,0.844,221.9,0.0
2025-06-19T03:05:38.434403,cell_3,0.852,0.8,0.0
2025-06-19T03:06:08.722330,cell_1,0.824,206.6,0.176
2025-06-19T03:06:08.741147,cell_2,0.864,0.6,0.0
2025-06-19T03:06:08.756284,cell_3,0.836,0.6,0.0
2025-06-19T03:06:39.053059,cell_1,0.888,286.7,0.16
2025-06-19T03:06:39.072566,cell_2,0.792,235.6,0.19
2025-06-19T03:06:39.087763,cell_3,0.768,326.3,0.266
2025-06-19T03:07:09.381330,cell_1,0.848,205.5,0.21
2025-06-19T03:07:09.398661,cell_2,0.844,240.5,0.2
2025-06-19T03:07:09.416053,cell_3,0.864,300.3,0.222
2025-06-19T03:07:39.704684,cell_1,0.852,251.4,0.196
2025-06-19T03:07:39.719129,cell_2,0.876,0.6,0.236
2025-06-19T03:07:39.735680,cell_3,0.872,369.0,0.266
2025-06-19T03:08:10.022342,cell_1,0.9,0.7,0.0
2025-06-19T03:08:10.037350,cell_2,0.864,0.4,0.0
2025-06-19T03:08:10.051190,cell_3,0.848,267.5,0.0
2025-06-19T03:08:40.343317,cell_1,0.84,0.3,0.0
2025-06-19T03:08:40.362769,cell_2,0.86,0.5,0.0
2025-06-19T03:08:40.378847,cell_3,0.856,0.9,0.0
2025-06-19T03:09:10.672267,cell_1,0.804,0.3,0.0
2025-06-19T03:09:10.693512,cell_2,0.86,0.4,0.0
2025-06-19T03:09:10.709699,cell_3,0.856,0.9,0.0
2025-06-19T03:09:40.995129,cell_1,0.88,255.5,0.216
2025-06-19T03:09:41.010783,cell_2,0.876,281.9,0.216
2025-06-19T03:09:41.027516,cell_3,0.868,357.5,0.278
2025-06-19T03:10:11.310685,cell_1,0.884,0.3,0.0
2025-06-19T03:10:11.332533,cell_2,0.824,240.5,0.19
2025-06-19T03:10:11.353624,cell_3,0.892,0.7,0.0
2025-06-19T03:10:41.647150,cell_1,0.824,256.5,0.226
2025-06-19T03:10:41.662910,cell_2,0.864,253.2,0.23
2025-06-19T03:10:41.677099,cell_3,0.856,0.7,0.236
2025-06-19T03:11:11.971463,cell_1,0.86,0.2,0.0
2025-06-19T03:11:11.992620,cell_2,0.864,0.3,0.0
2025-06-19T03:11:12.008372,cell_3,0.86,1.0,0.0
2025-06-19T03:11:42.299550,cell_1,0.844,245.2,0.21
2025-06-19T03:11:42.319893,cell_2,0.86,224.1,0.18
2025-06-19T03:11:42.335308,cell_3,0.872,282.2,0.222
2025-06-19T03:12:12.629543,cell_1,0.868,0.5,0.0
2025-06-19T03:12:12.643830,cell_2,0.88,0.3,0.0
2025-06-19T03:12:12.661994,cell_3,0.872,0.8,0.0
2025-06-19T03:12:42.953411,cell_1,0.86,0.5,0.0
2025-06-19T03:12:42.974222,cell_2,0.86,210.1,0.19
2025-06-19T03:12:42.988700,cell_3,0.864,0.8,0.0
2025-06-19T03:13:13.281732,cell_1,0.884,0.6,0.0
2025-06-19T03:13:13.304093,cell_2,0.808,235.0,0.19
2025-06-19T03:13:13.318920,cell_3,0.844,355.3,0.268
2025-06-19T03:13:43.611410,cell_1,0.868,0.3,0.0
2025-06-19T03:13:43.631153,cell_2,0.916,290.0,0.206
2025-06-19T03:13:43.647476,cell_3,0.888,324.8,0.266
2025-06-19T03:14:13.943627,cell_1,0.928,286.9,0.242
2025-06-19T03:14:13.964032,cell_2,0.856,220.1,0.184
2025-06-19T03:14:13.986215,cell_3,0.844,0.7,0.0
2025-06-19T03:14:44.278586,cell_1,0.864,0.5,0.0
2025-06-19T03:14:44.299415,cell_2,0.9,0.4,0.232
2025-06-19T03:14:44.314807,cell_3,0.86,0.7,0.042
2025-06-19T03:15:19.130825,cell_1,0.864,0.4,0.246
2025-06-19T03:15:19.151983,cell_2,0.864,227.4,0.186
2025-06-19T03:15:19.169389,cell_3,0.84,284.7,0.232
2025-06-19T03:15:49.456594,cell_1,0.832,229.9,0.186
2025-06-19T03:15:49.471623,cell_2,0.872,239.1,0.194
2025-06-19T03:15:49.492133,cell_3,0.868,0.8,0.0
2025-06-19T03:16:19.784706,cell_1,0.896,0.1,0.0
2025-06-19T03:16:19.800657,cell_2,0.888,0.4,0.0
2025-06-19T03:16:19.815865,cell_3,0.88,0.9,0.0
2025-06-19T03:16:50.121612,cell_1,0.884,0.3,0.0
2025-06-19T03:16:50.140389,cell_2,0.888,0.5,0.24
2025-06-19T03:16:50.158147,cell_3,0.816,314.8,0.272
2025-06-19T03:17:20.444026,cell_1,0.908,0.5,0.0
2025-06-19T03:17:20.457967,cell_2,0.84,0.6,0.0
2025-06-19T03:17:20.473903,cell_3,0.836,255.6,0.0
2025-06-19T03:17:50.757221,cell_1,0.884,0.7,0.0
2025-06-19T03:17:50.773606,cell_2,0.884,0.5,0.0
2025-06-19T03:17:50.790319,cell_3,0.88,0.8,0.0
2025-06-19T03:18:21.075385,cell_1,0.876,0.5,0.0
2025-06-19T03:18:21.091882,cell_2,0.872,0.4,0.0
2025-06-19T03:18:21.109039,cell_3,0.864,0.9,0.0
2025-06-19T03:18:51.397252,cell_1,0.884,0.6,0.0
2025-06-19T03:18:51.411442,cell_2,0.876,0.5,0.0
2025-06-19T03:18:51.431973,cell_3,0.88,152.7,0.288
2025-06-19T03:19:21.719038,cell_1,0.872,0.6,0.0
2025-06-19T03:19:21.733818,cell_2,0.896,0.2,0.0
2025-06-19T03:19:21.749857,cell_3,0.872,0.8,0.0
2025-06-19T03:19:52.035468,cell_1,0.808,0.5,0.0
2025-06-19T03:19:52.057342,cell_2,0.876,0.5,0.0
2025-06-19T03:19:52.077123,cell_3,0.896,322.6,0.262
2025-06-19T03:20:22.370043,cell_1,0.884,0.2,0.0
2025-06-19T03:20:22.385776,cell_2,0.872,0.6,0.0
2025-06-19T03:20:22.402520,cell_3,0.876,0.8,0.0
2025-06-19T03:20:52.684930,cell_1,0.896,213.5,0.184
2025-06-19T03:20:52.700146,cell_2,0.836,222.4,0.204
2025-06-19T03:20:52.716707,cell_3,0.836,291.8,0.25
2025-06-19T03:21:25.264152,cell_1,0.772,216.9,0.108
2025-06-19T03:21:25.278535,cell_2,0.86,237.2,0.184
2025-06-19T03:21:25.294460,cell_3,0.864,304.0,0.236
2025-06-19T03:21:55.578885,cell_1,0.848,257.0,0.196
2025-06-19T03:21:55.593105,cell_2,0.884,252.7,0.268
2025-06-19T03:21:55.609927,cell_3,0.868,147.7,0.304
2025-06-19T03:22:25.905250,cell_1,0.88,0.1,0.0
2025-06-19T03:22:25.923128,cell_2,0.868,0.4,0.0
2025-06-19T03:22:25.939007,cell_3,0.868,0.8,0.0
2025-06-19T03:22:56.228867,cell_1,0.856,306.0,0.216
2025-06-19T03:22:56.244939,cell_2,0.832,251.8,0.21
2025-06-19T03:22:56.260234,cell_3,0.852,368.7,0.334
2025-06-19T03:23:26.545114,cell_1,0.864,0.4,0.0
2025-06-19T03:23:26.568175,cell_2,0.876,238.0,0.194
2025-06-19T03:23:26.583905,cell_3,0.88,315.9,0.25
2025-06-19T03:23:59.130006,cell_1,0.868,276.0,0.222
2025-06-19T03:23:59.144086,cell_2,0.928,0.5,0.0
2025-06-19T03:23:59.161594,cell_3,0.908,98.7,0.302
2025-06-19T03:24:29.459678,cell_1,0.812,0.4,0.0
2025-06-19T03:24:29.479735,cell_2,0.856,0.6,0.0
2025-06-19T03:24:29.495042,cell_3,0.856,0.9,0.0
2025-06-19T03:24:59.785293,cell_1,0.884,0.4,0.0
2025-06-19T03:24:59.800091,cell_2,0.868,0.5,0.0
2025-06-19T03:24:59.815886,cell_3,0.864,1.0,0.0
2025-06-19T03:25:30.104620,cell_1,0.824,0.2,0.0
2025-06-19T03:25:30.122141,cell_2,0.86,0.5,0.0
2025-06-19T03:25:30.143362,cell_3,0.832,298.7,0.25
2025-06-19T03:26:02.688954,cell_1,0.82,211.2,0.0
2025-06-19T03:26:02.704221,cell_2,0.796,220.2,0.174
2025-06-19T03:26:02.719404,cell_3,0.868,303.1,0.242
